2023,19th October,08:45 - 09:45,Individual,Round 1,Welcome to Canada,60,600
2023,19th October,09:50 - 10:35,Individual,Round 2,Jacob E. Funk,45,450
2023,19th October,10:45 - 11:35,Individual,Round 3,Niagara Falls,50,500
2023,19th October,11:40 - 12:20,Individual,Round 4,The Road to GMPuzzles,40,400
2023,19th October,14:00 - 14:35,Individual,Round 5,American Stars,35,350
2023,19th October,14:40 - 15:15,Individual,Round 6,North American Siblings,35,350
2023,19th October,15:25 - 16:15,Individual,Round 7,A Galaxy Far Far Away,50,500
2023,19th October,16:35 - 17:20,Team,Round 8,Aha Moments,45,1800
2023,19th October,17:30 - 18:15,Team,Round 9,Red and Blue,45,1800
2023,20th October,09:00 - 09:50,Individual,Round 10,Words CAN Define US,50,500
2023,20th October,10:00 - 10:40,Individual,Round 11,What is the Meaning of Aqre?,40,400
2023,20th October,10:50 - 12:05,Individual,Round 12,Stretching our Legs,75,750
2023,20th October,13:45 - 14:50,Individual,Round 13,Islands of Insight,70,700
2023,20th October,14:55 - 15:35,Individual,Round 14,Melon's Puzzles,40,400
2023,20th October,15:45 - 16:50,Individual,Round 15,All Over the Map,65,650
2023,20th October,16:55 - 18:00,Individual,Round 16,The Breadth of America,65,650
2023,20th October,18:10 - 18:40,Team,Round 17,Canadian Summits,30,1200
2023,21st October,09:00 - 09:40,Individual,Round 18,Roger's Bag,40,400
2023,21st October,09:50 - 10:35,Individual,Round 19,Holesome Diet,45,440
2023,21st October,10:45 - 11:45,Individual,Round 20,Pentominous+,60,600
2023,21st October,13:45 - 15:00,Team,Round 21,Trick or Treat,75,2500
2023,21st October,15:10 - 15:40,Team,Round 22,Ceremonial Folding,30,1540
2022,20th October,09:00 - 10:00,Individual,Round 1,Countdown,60,450
2022,20th October,10:15 - 10:45,Individual,Round 2,Araf Variations,30,300
2022,20th October,11:00 - 12:30,Individual,Round 3,New Generation,90,900
2022,20th October,14:00 - 15:00,Individual,Round 4,Ring of Pain,60,600
2022,20th October,15:10 - 15:55,Individual,Round 5,Snake Variations,45,450
2022,20th October,16:10 - 17:10,Individual,Round 6,Nightmare in Cracow,60,600
2022,20th October,17:30 - 18:45,Team,Round 7,Pieces,75,3200
2022,21st October,09:00 - 09:29,Individual,Round 8,29 Under 29,29,290
2022,21st October,09:45 - 11:00,Individual,Round 9,E Pluribus Duo,75,750
2022,21st October,11:15 - 12:15,Individual,Round 10,Several Unsurprising Solves,60,600
2022,21st October,14:00 - 14:45,Individual,Round 11,(Anti)Knight,45,450
2022,21st October,15:00 - 15:45,Individual,Round 12,No Four in a Row,45,450
2022,21st October,16:00 - 17:15,Individual,Round 13,Boss Rush,75,1000
2022,21st October,17:45 - 18:30,Team,Round 14,Pairs,45,1800
2022,22nd October,09:00 - 10:30,Team,Round 15,Tournament,90,4400
2019,3rd October,09:00 - 09:30,Individual,Round 1,Welcome,30,350
2019,3rd October,09:45 - 11:15,Individual,Round 2,Assorted Puzzles,90,1100
2019,3rd October,11:30 - 12:15,Individual,Round 3,Permaculture,45,450
2019,3rd October,15:00 - 15:30,Individual,Round 4,Roundabout,30,250
2019,3rd October,15:45 - 16:45,Individual,Round 5,German Style Puzzles,60,700
2019,3rd October,17:15 - 18:00,Team,Round 6,Patches,45,2000
2019,3rd October,18:15 - 19:00,Team,Round 7,Worms,45,1800
2019,4th October,09:00 - 10:00,Individual,Round 8,Twilight,60,600
2019,4th October,10:15 - 10:45,Individual,Round 9,Miniatures,30,250
2019,4th October,11:00 - 12:15,Individual,Round 10,WPC 28,75,850
2019,4th October,15:00 - 16:00,Individual,Round 11,Irregular,60,700
2019,4th October,16:15 - 17:15,Individual,Round 12,Innovations,60,700
2019,4th October,17:45 - 19:00,Team,Round 13,Loopfinder,75,3000
2019,5th October,09:00 - 09:35,Individual,Round 14,Jigsaw Kropki,35,300
2018,8th November,09:00 - 09:45,Individual,Round 1,Shading,45,590
2018,8th November,10:00 - 10:40,Individual,Round 2,Objects,40,430
2018,8th November,11:05 - 12:05,Individual,Round 3,Skyscrapers,60,595
2018,8th November,14:00 - 15:00,Individual,Round 4,Polygons,60,750
2018,8th November,15:15 - 16:45,Individual,Round 5,Variations,90,1025
2018,8th November,17:10 - 18:40,Individual,Round 6,Combinations,90,930
2018,9th November,09:00 - 09:45,Individual,Round 7,Paths,45,550
2018,9th November,10:00 - 10:45,Individual,Round 8,Dissections,45,580
2018,9th November,11:10 - 12:10,Individual,Round 9,Numbers,60,800
2018,9th November,14:00 - 14:45,Individual,Round 10,Double Trouble,45,450
2018,9th November,15:00 - 15:45,Individual,Round 11,Regional,45,590
2018,9th November,16:00 - 17:00,Individual,Round 12,Innovative,60,690
2018,9th November,17:25 - 17:55,Team,Team Round 1,Combined,30,1800
2018,9th November,18:10 - 18:55,Team,Team Round 2,Hexa,45,3000
2018,10th November,09:00 - 10:30,Individual,Round 13,Twisted,90,810
2018,10th November,10:00 - 11:30,Team,Team Round 3,Ariadne's Thread,90,4800
2017,19th October,09:00 - 09:40,Individual,Round 1,Road To Bangalore,40,450
2017,19th October,09:50 - 10:50,Individual,Round 2,Indian Puzzle Land,60,600
2017,19th October,11:05 - 12:30,Individual,Round 3,Evergreens,85,900
2017,19th October,14:00 - 15:00,Individual,Round 4,Twist,60,600
2017,19th October,15:10 - 15:50,Individual,Round 5,Hexed and Remixed,40,400
2017,19th October,16:00 - 16:45,Individual,Round 6,TVC,45,450
2017,19th October,17:05 - 17:40,Team,Round 7,Deception,35,1400
2017,19th October,17:50 - 18:30,Team,Round 8,Kashmir Carpet,40,1600
2017,20th October,09:00 - 10:50,Individual,Round 9,Marathon,110,1100
2017,20th October,11:05 - 12:05,Individual,Round 10,Parallel Universe,60,650
2017,20th October,12:15 - 12:40,Individual,Round 11,SVC,25,250
2017,20th October,14:10 - 14:50,Individual,Round 12,123 GO,40,450
2017,20th October,15:00 - 15:40,Individual,Round 13,No Numbers,40,400
2017,20th October,15:50 - 16:20,Individual,Round 14,Fillomino-Fillia,30,300
2017,20th October,16:50 - 17:40,Team,Round 15,Loop Pool,50,2500
2017,20th October,17:50 - 18:25,Team,Round 16,Sampler Platter,35,#
2017,21st October,09:00 - 10:00,Individual,Round 17,FAST,60,600
2017,21st October,10:10 - 11:30,Individual,Round 18,PIC,80,1000
2017,21st October,11:45 - 12:25,Individual,Round 19,Logidoku,40,500
2017,21st October,13:55 - 14:25,Individual,Round 20,Puzzle Fusion,30,350
2017,21st October,14:35 - 14:50,Individual,Round 21,Broken Pieces,15,160
2017,21st October,15:15 - 15:55,Team,Round 22,Don't Worry Be Happy,40,1600
2017,21st October,16:10 - 17:00,Team,Round 23,Word Show,50,2500
2016,20th October,09:00 - 09:25,Individual,Round 1,Slovakia,25,300
2016,20th October,09:25 - 11:10,Individual,Round 2,Miscellaneous,90,1100
2016,20th October,11:30 - 12:30,Individual,Round 3,Kropki,60,750
2016,20th October,14:10 - 14:45,Individual,Round 4,Full Classics,35,430
2016,20th October,15:00 - 16:00,Individual,Round 5,Finest Collection,60,720
2016,20th October,16:15 - 16:40,Individual,Round 6,Superpositions,25,300
2016,20th October,17:00 - 17:30,Individual,Round 7,Outside The Box,30,360
2016,20th October,17:45 - 18:30,Individual,Round 8,Oldish Style,45,650
2016,21st October,09:00 - 10:40,Individual,Round 9,Classics,100,1200
2016,21st October,11:00 - 11:35,Individual,Round 10,Myopia,35,350
2016,21st October,11:50 - 12:35,Individual,Round 11,Newish Style,45,650
2016,21st October,14:10 - 15:25,Individual,Round 12,Assorted,75,900
2016,21st October,15:40 - 16:20,Individual,Round 13,Irregular Classics,40,500
2016,21st October,17:00 - 17:30,Team,Round 14,Perplexity,30,1400
2016,21st October,17:40 - 18:30,Team,Round 15,Toroidal,50,2000
2016,22nd October,09:00 - 09:30,Team,Round 16,Stickers,30,1200
2016,22nd October,09:45 - 10:15,Team,Round 17,Pentominoes,30,1500
2015,15th October,09:00 - 09:50,Individual,Round 1,Welcome,50,400
2015,15th October,10:00 - 11:00,Individual,Round 2,Classics,60,600
2015,15th October,11:20 - 12:50,Individual,Round 3,Latin Squares,90,950
2015,15th October,14:30 - 15:30,Individual,Round 4,Pathfinder,60,620
2015,15th October,15:50 - 17:00,Individual,Round 5,Hybrids,70,700
